0
Eurofins Scientific SE
Fresenius Medical Care AG & Co KGaA
SIX Finance (Luxembourg) SA
PostNL NV
CA Immobilien Anlagen AG
Klépierre SA
TRATON Finance Luxembourg SA
"Stellantis NV, Amsterdam"
VINCI SA
K+S Aktiengesellschaft
Zurich Finance (Ireland) DAC
Bayer AG
CK Hutchison Group Telecom Finance SA
Nestle Finance International Ltd
Société des Autoroutes du Nord et de l'Est de la France (SANEF SA)
Deutsche Bahn Finance GmbH
Enexis Holding NV
BASF Finance Europe NV
Danfoss Finance II BV
Michelin Luxembourg SCS
Fresenius SE & Co KGaA
Eaton Capital Unlimited Co
DAA Finance PLC
GIE ENGIE Alliance
A
Ryanair DAC
Prosegur - Compañía de Seguridad SA
Valéo SA
STG Global Finance BV
Indigo Group SAS
Immofinanz AG
Wendel SE
El Corte Inglés SA
CTP BV
Holding d'Infrastructures de Transport SAS
NorteGas Energia Distribuci
Teréga SA
Engie SA
Sampo OYJ
DSV Panalpina Finance BV
Strabag SE
Worldline SA
Sodexo SA
Bevco Lux Sàrl
Gas Networks Ireland
Naturgy Finance BV
CPI PROPERTY GROUP SA
Legrand SA
BEFIMMO SA
BP Capital Markets BV
ENEXIS Holding NV
Simon International Finance SCA
Urenco Finance NV
CRH Finance DAC
CRH Finland Services Oyj
Airbus Finance BV
Aéroports de Paris SA
Enagás Financiaciones SAU
LVMH Moët Hennessy Louis Vuitton SE
Euronext NV
Red Eléctrica Financiaciones SAU
SATO Oyj
Anheuser-Busch InBev NV/SA
Compagnie Financière et Industrielle des Autoroutes 'COFIROUTE' SA
SPP-Distribuc
Hemsö Treasury Oyj
Aroundtown SA
Evonik Finance BV
Adecco International Fin Serv BV
Holcim Finance (Luxembourg) SA
HeidelbergCement Finance Luxembourg SA
Liberty Mutual Finance Europe DAC
Borealis AG
Unilever Finance Netherlands BV
Mercialys
Eustream AS
EnBW International Finance BV
Continental AG
Adecco International Financial Services BV
Mondi Finance Europe GmbH
Achmea BV
SAFRAN
Coca Cola HBC Finance BV
ABB Finance BV
Tyco Electronics Group SA
Paccar Financial Europe BV
Merck Financial Services GmbH
Bayer Capital Corp BV
Elisa Oyj
Glencore Capital Finance DAC
Givaudan Finance Europe BV
Kerry Group Financial Services
Elering AS
Talanx AG
JAB Holdings BV
Amphenol Technologies Holding GmbH
EVN AG
Edenred SA
Akzo Nobel NV
Vantage Towers AG
Fresenius Finance Ireland PLC
Deutsche Telekom AG
Koninklijke DSM NV
adidas AG
Eutelsat SA
EDP Finance BV
Knorr-Bremse AG
DNA Plc
Electricité de France SA (EDF)
Whirlpool Finance Luxembourg Sarl
SAP SE
Eurogrid GmbH
Royal Schiphol Group NV
Swisscom Finance BV
Altareit SA
Shell International Finance BV
Cellnex Telecom SA
ESB Finance DAC
RTE Réseau de Transport d'Electricité SA
Schlumberger Finance BV
Six Finance (Luxembourg) SA
Verbund AG
NV Nederlandse Gasunie
EON International Finance BV
Fluvius System Operator CVBA
Kering SA
Autostrade per L'Italia SpA
HELLA GmbH & Co KGaA
"Brisa - Concessao Rodoviaria, SA"
Firmenich Productions Participations SAS
Ferrovial Emisiones SA
Amadeus Capital Marke
Nestlé Finance International Ltd
Enodia SCRL
ENEL Finance International NV
Metso Outotec Oyj
VGP NV
Robert Bosch GmbH
Deutsche Lufthansa AG
Fortum Oyj
Brussels Airport Company SA/NV
Compass Group Finance Netherlands BV
Erdöl-Lagergesellschaft mbH
Alliander NV
Henkel AG & Co KGaA
Diageo Capital BV
Koninklijke Philips NV
Atos SE
THALES SA
Total Capital SA
Téléperformance SE
Atlas Copco Finance DAC
CEPSA Finance SAU
Pernod-Ricard SA
Red Electrica Corporacion SA
Gecina SA
Reckitt Benckiser Treasury Services (Nederland) BV
Prosegur Cash SA
Roche Finance Europe BV
SPP Infrastructure Fing BV
Bunge Finance Europe BV
Redexis Gas Finance BV
Lonza Finance International NV
Capgemini SE
H&M Finance BV
Imperial Brands Finance Netherlands BV
Iberdrola Finanzas SA
Société Foncière Lyonnaise SA
Zapadoslovenska energetika AS
Apetra NV
EssilorLuxottica SA
Stedin Holding NV
MTU Aero Engines AG
Régie Autonome des Transports Parisiens
Cellnex Finance Company SA
RESA SA
HOCHTIEF AG
Vier Gas Transport GmbH
NN Group NV
Elia Group
Airbus SE
CRH Funding BV
Groupe Bruxelles Lambert SA
Vonovia Finance BV
ASML Holding NV
Auchan Holding SA
Veolia Environnement SA
SES SA
Compagnie Générale des Établissements Michelin (Michelin et Cie) SCpA
Deutsche Post AG
BASF SE
Danone SA
Richemont International Holding SA
International Consolidated Airlines Group SA
Novartis Finance SA
JCDecaux SA
"SPP-Distribucia, AS"
Befimmo SA
UNIQA Insurance Group AG
Telefónica Europe BV
Amadeus IT Group SA
La Poste
Schaeffler AG
NE Property BV
Solvay SA
Evonik Industries AG
Total Capital International SA
Deutsche Post Finance BV
LANXESS AG
ENI Finance International SA
