0
Elia
RESA SA
GBL
Fluvius System Operator
Befimmo
Anheuser-Busch InBev
Brussels Airport
Apetra
Barry Callebaut Services
Solvay
Lonza Finance Int
Eni Finance
VGP NV
JAB Holdings
TRATON Finance Luxembourg S.A.
SIX Finance (Luxembourg)
Stellantis
BRISA-Concessao Rodoviaria
Energias de Portugal
Metropolitano de Lisboa
NOS SGPS
Telecom Italia (TIM)
Nederlandse Gasunie
Tennet Holding
Enexis Holding
Alliander
Akzo Nobel
Nestle S.A.
Wolters Kluwer
ASML Holding
Zapadoslovenska Energetika
LafargeHolcim
Heineken
DSM
Royal Dutch Shell
Airbus
SPP Distribucia
Citycon Oyj
CNH Industrial
Exor NV
Novartis
Urenco
Eurofins Scientific
Unilever
SPP Infrastructure
Redes Energeticas Nacionais (REN)
Roche Holding AG
NN Group
Michelin
Adecco
Royal Schiphol Group
Roche Finance Europe
Coca-Cola HBC Finance
RELX Finance
EDP Finance BV
Abb Finance
Bunge Ltd
Ren Finance
Aroundtown
Koninklijke KPN
Whirlpool
Aegon
W.P. Carey
RELX Plc
HeidelbergCement
ABB
Compass Group
ADLER Group S.A.
Grand City Properties
Philips
Deere&Company
Koninklijke Ahold Delhaize
Stedin Holding
PostNL
ArcelorMittal
Euronext
Compagnie Financiere Richemont
SES
Citycon Treasury
PACCAR
Compass Group Finance Netherlands
Paccar Financial Europe B.V.
Coca-Cola HBC AG
Schlumberger
LyondellBasell Industries
Mondelez International Holdings Netherlands
CK Hutchison Holdings Limited
Digital Realty Trust Inc
TE Connectivity
PACCAR Financial
Givaudan
Signify
John Deere Capital
Schiphol Nederland
British American Tobacco
Swisscom
CRH
CPI Property Group
Achmea BV
Reckitt Benckiser Group
Mohawk Industries
SIG Combibloc Group AG
Eustream
Czech Gas Networks Investments
Viatris
ISS Global
NEPI Rockcastle
Naspers
Heimstaden Bostad
Akelius Residential Property
Bevco Lux
Mondelez International
Scandinavian Tobacco
CTP B.V.
Diageo
Global Switch Holdings
BP PLC
Wizz Air Holdings
Sagax
H&M Finance
EasyJet
DSV PANALPINA A/S
Simon Property Group L.P.
Imperial Brands
London Stock Exchange Group
SGS S.A.
Danfoss
EWE
Daimler AG
Metro AG
SAP SE
Deutsche Borse
Vonovia Finance BV
Evonik Finance B.V.
BASF
Daimler International Finance B.V.
Vonovia SE
Allianz Finance II B.V.
K+S Group
Linde
Deutsche Boerse AG
Siemens Financieringsmaatschappij N.V. (SFM)
LEG Immobilien AG
Deutsche Wohnen
Schaeffler
Hochtief AG
Deutsche Telekom
Vantage Towers
Talanx
RWE AG
EnBW Energie Baden-Wuerttemberg
E.ON
Deutsche Bahn
Deutsche Post
Bertelsmann
Lanxess AG
BMW
Robert Bosch
Vier Gas Transport
Bayer
Volkswagen
Evonik Industries
Infineon Technologies
Ceconomy
Wuerth
Eurogrid
Merck KGaA
Alstria Office REIT
Covestro
Linde plc
Henkel AG & Co. KGaA
Sudzucker
Knorr-Bremse
Hella KGaA
Brenntag
Hannover Re Group
Amphenol Technologies Holding
Fresenius Medical Care
Fresenius SE
Siemens
ZF Friedrichshafen
TLG Immobilien
Deutsche Lufthansa
Continental
Albemarle
MTU Aero Engines AG
Adidas
Kion Group
Ferrovial
Abertis Infraestructuras
MAPFRE
CORES
Inmobiliaria Colonial
Telefonica Europe
Naturgy Energy Group
Telefonica SA
Red Electrica Corporacion
Repsol
Iberdrola
Enagas S.A.
Redexis Gas
Cellnex Telecom
Amadeus IT Group
Merlin Properties Socimi
Madrilena Red de Gas
Prosegur Compania de Seguridad SA
ACS Actividades de Construccion y Servicios
CEPSA
International Airlines Group
El Corte Ingles
NorteGas Energia Distribucion
Kaerntner Elektrizitaets AG
Novomatic
Strabag SE
Borealis
Vienna Insurance Group
Kojamo
Metsa Board
DNA
Energie AG Oberosterreich
OMV
EVN AG
Telekom Austria AG
Fingrid OYJ
Erdol-Lagergesellschaft
Ryanair
Sampo Group
Verbund
TVO
Electricity Supply Board (ESB)
Kerry Group
Eesti Energia
DAA
PartnerRe
Eaton Capital Unlimited
GAS Networks Ireland
Nokia
Elisa
Liberty Mutual Finance Europe
Stora Enso Oyj
Neles
Ignitis Group
Elering
Fortum Oyj
Zurich Finance (Ireland)
Atlas Copco
CA Immobilien
Mondi AG
SATO
Uniqa Insurance
Glencore International AG
Immofinanz
UPM
Hemso Treasury
Balder
Samhallsbyggnadsbolaget i Norden
Orange
Engie
La Poste
Veolia Environnement
Cofiroute
Autoroutes Du Sud de La France
SUEZ
Electricite de France (EDF)
RTE Reseau de Transport d'electricite
SAGESS
Bouygues
Aeroports de Paris
Eutelsat
Air Liquide Finance
Air Liquide
Gecina
Danone
Schneider Electric
Sanofi
Valeo
ESSILORLUXOTTICA
LVMH Moet Hennessy Louis Vuitton
Pernod Ricard
Kering
Wendel
Infra Foch
Klepierre
Mercialys
Societe Fonciere Lyonnaise
Publicis Groupe
Arkema
Edenred
Transport et Infrastructures Gaz France
CARMILA
Sanef SA
Legrand
Covivio (Fonciere des Regions)
Vivendi
JCDecaux
APRR
Regie Autonome des Transports Parisiens
Capgemini
Renault
Coentreprise De Transport D'electricite
Holding d'Infrastructures de Transport S.A.S.
Thales
Infra Park
Unibail-Rodamco SE
Carrefour
Altareit
Covivio Hotels
VINCI SA
AtoS
Dassault Systemes
Worldline
Alstom
Ceetrus
Terega SAS
SNCF
Auchan
Teleperformance
Altarea
Safran S.A.
Total
Sodexo
WPP
AXA
Compagnie De St-Gobain
Cie De Saint-Gobain
Schlumberger Holdings Corporation
Firmenich International
Autostrade
Enel
Atlantia
Terna SPA
Leonardo
Assicurazioni Generali
Snam
Hera
Eni Spa
Ferrovie dello Stato
A2A
Luxottica
Iren S.p.A.
Acea
2i rete gas
Buzzi Unicem
Italgas
Aeroporti di Roma
Esselunga
ERG SPA
Radiotelevisione Italiana (RAI)
INWIT
Poste Italiane
