organizationName,orgID,orgID_URL,orgSubtype,businessSector,busSect_description,busSectID,Business_ClassCode,EconomicSectID_URL,HQ_Address,HQ_PhoneNumber,orgURL,primaryTicker,hasHoldingClassification,LEI
DPUW Deutsche Pflege und Wohnen AG,4296784388,https://permid.org/1-4296784388,Unknown,Consumer Goods Conglomerates,"Large organizations, engaged in multiple business lines within the consumer goods sectors, including non-cyclical consumer goods and cyclical consumer goods.",4294952948,5440,https://permid.org/1-4294952895,"Prinses Beatrixlaan 800
'S-GRAVENHAGE
ZUID-HOLLAND
2595 BN
Netherlands
",31703332458,,,,TAFO772JB70PDRN5VS48
Siemens Financieringsmaatschappij NV,4296092017,https://permid.org/1-4296092017,Special Purpose Vehicle,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"P. de Coubertinweg 7N
MAASTRICHT
LIMBURG
6225 XT
Netherlands
",31433564000,,,,52990063W8KQHQMF4M43
Deutsche Post Finance BV,4295866940,https://permid.org/1-4295866940,Company,Industrial Goods,"Manufacturers of aerospace & defense equipment, as well as industrial vehicles, machinery, equipment & components, and shipbuilders.",4294952766,5210,https://permid.org/1-4294952767,"35, Rue Joseph Monier
RUEIL-MALMAISON
ILE-DE-FRANCE
92500
France
",33141297000,https://www.schneider-electric.com/fr/fr/,,,969500A1YF1XUYYXS284
Schneider Electric SE,5037662836,https://permid.org/1-5037662836,Company,Cyclical Consumer Services,"Providers of accommodation, entertainment and leisure services, marketing and advertising services and media & publishing services.",4294952915,5330,https://permid.org/1-4294952746,"Carl-Bertelsmann-Strasse 270
GUETERSLOH
NORDRHEIN-WESTFALEN
33311
Germany
",495241805562,https://www.bertelsmann.de/,SU,publiclyHeld,5299001BUUGXAREGE533
Bertelsmann SE & Co KGaA,4295866806,https://permid.org/1-4295866806,Company,Utilities,"Producers and distributors of electricity, natural gas, water, steam and utility infrastructure operators.",4294952820,5910,https://permid.org/1-4294952821,"Tour T1, 1 place Samuel de Champlain
Faubourg de l Arche
Paris La Defense cedex
PARIS
ILE-DE-FRANCE
92930
France
",33144220000,https://www.engie.com/,BTG4,publiclyHeld,LAXUQCHT4FH58LRZDY46
Engie SA,4295870063,https://permid.org/1-4295870063,Company,Technology Equipment,"Manufacturers of semiconductors, communications equipment, computer hardware and software and technology-related office equipment, electronic equipment and components, household/consumer electronics, phones, handhelds, and related office equipment as well as providers of consulting and IT services.",4294952722,5710,https://permid.org/1-4294952723,"Am Campeon 1-12


NEUBIBERG
BAYERN
85579
Germany
",49892340,https://www.infineon.com/,ENGI,publiclyHeld,TSI2PJM6EPETEQ4X1U25
Infineon Technologies AG,5074787774,https://permid.org/1-5074787774,Company,Real Estate,"Developers and managers of real estate operations and related services. Includes residential, commercial and specialized real estate investment trusts.",4294952860,6010,https://permid.org/1-1004365438,"Skillnadsgatan 11 A 20
HELSINKI
ETELA-SUOMEN
00130
Finland
",,,IFX,publiclyHeld,5493007P4MCJM21IB748
Balder Finland Oyj,5076162463,https://permid.org/1-5076162463,Company,Industrial & Commercial Services,"Providers of construction, engineering, commercial supply services, professional information services, as well as diversified trading and distribution operations.",4294952762,5220,https://permid.org/1-4294952767,"c/o Newsec Asset Management Oy
Pl 52
HELSINKI
ETELA-SUOMEN
00101
Finland
",,,,,5493003HHOCW6FIMH724
SBB Treasury Oyj,5000074393,https://permid.org/1-5000074393,Company,Chemicals,"Producers and refiners of agricultural, commodity and specialty chemicals.",4294952988,5110,https://permid.org/1-4294952774,"Rellinghauser Strasse 1-11
ESSEN
NORDRHEIN-WESTFALEN
45128
Germany
",4920117701,https://corporate.evonik.de/,,,41GUOJQTALQHLF39XJ34
Evonik Industries AG,4296694478,https://permid.org/1-4296694478,Company,Automobiles & Auto Parts,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",4294952931,5310,https://permid.org/1-4294952746,"Paleisstraat 1-5
AMSTERDAM
NOORD-HOLLAND
1012 RB
Netherlands
",31206245971,http://www.vif.nl/,EVK,publiclyHeld,5299004PWNHKYTR23649
