0
Elia Transmission Belgium
Enodia 
Groupe Bruxelles Lambert
Fluvius System Operator CVBA
Befimmo
Elia Group
AB InBev
Brussels Airport
Apetra N.V.
Barry Callebaut
Solvay 
Lonza Finance International NV
ENI Finance International S.A.
VGP Group
JAB Holding Company
TRATON Finance Luxembourg S.A.
SIX Financial Information 
Stellantis
Brisa Concessão Rodoviária (BCR)
EDP Group 
"Metropolitano de Lisboa,"
NOS
Telecom Italia Finance
"Nederlandse Gasunie, N.V."
EDP Finance B.V.
TenneT 
ENEXIS Holding NV
Alliander
AkzoNobel 
Nestle Finance International Ltd
Wolters Kluwer 
ASML 
Západoslovenská energetika
Holcim Finance (Luxembourg) S.A.
Heineken N.V.
DSM
Shell International 
Airbus Finance BV 
"SPP-distribúcia, a.s."
Citycon Treasury B.V.
CNH INDUSTRIAL AND CNH
EXOR
Novartis Finance S.A.
Urenco Finance NV
Eurofins Scientific
Unilever Finance Netherlands B.V.
SPP INFRASTRUCTURE FING B.V.EO
REN Finance B.V.
Roche Finance Europe BV
NN Group 
Michelin Luxembourg SCS
Adecco International Financial Services BV
Royal Schiphol Group 
Coca
RELX Finance BV
ABB Finance BV
Bunge Finance Europe BV
Aroundtown SA
KPN
Whirlpool Finance Luxembourg S.a.r.l.
Aegon Group
WPC Eurobond BV
HeidelbergCement Fin.Lux. S.A.
Compass Group International B.V.
Adler Group
Grand City Properties SA
Philips
John Deere Cash Management
Ahold Delhaize
Stedin Holding N.V.
PostNL
ArcelorMittal
Euronext 
Richemont Intl Holding S.A.
SES 
Paccar Financial Europe B.V.
Compass Group Finance Netherlands B.V. 
Schlumberger Finance BV
LYB International Finance II
Mondelez International Holdings Netherlands BV
CK Hutchison Group Telecom Finance
Digital Dutch Finco B.V.
Tyco Electronics Group S.A.
Whirlpool Emea Finance S.a
Givaudan Finance Europe
Signify Company
Airbus 
B.A.T. Netherlands Finance B.V.
Swisscom Finance BV
CRH Funding BV
CPI Property Group
Achmea
Reckitt Benckiser Treasury Services PLC
Mohawk Capital Finance SA
SIG Combibloc
Eustream 
Czech Gas Networks Investments
Upjohn Finance B.V.
ISS Finance B.V.
NE Property B.V.
Prosus
Heimstaden Bostad AB (publ)
Akelius Residential Property Finance B.V.
Bevco Lux
STG Global Finance B.V.
CTP B.V.
Diageo Capital B.V.
Global Switch secures industry
BP Capital Markets p.l.c.
Digital Intrepid Holding B.V.
Wizz Air Finance Company B.V.
SAGAX EURO MTN NL B.V. 
H&M Group
EasyJet FinCo BV
DSV PANALPINA A/S DSV
"Simon International Finance,"
Imperial Brands Finance Netherlands B.V.
LSEG NETHERLANDS B.V.
SGS Nederland Holding BV
Danfoss Finance I B.V.
Danfoss Finance II BV
EWE AG
Daimler
METRO AG
SAP Software
Deutsche Börse Group
Vonovia Finance BV
Evonik Finance B.V.
BASF Finance Europe N.V
Daimler International Finance BV
Allianz Finance II B.V.
K+S Aktiengesellschaft
Linde Finance BV
BASF 
Siemens Financieringsmaatschappij 
LEG Immobilien
Deutsche Wohnen
Schaeffler Group
Hochtief
Deutsche Telekom
Vonovia Startseite
Vantage Towers
Talanx 
E.ON International Finance B.V.
EnBW International Finance BV
innogy Finance B.V.
Deutsche Telekom International Finance
