0
Elia Transmission Belgium
Enodia SCRL
Groupe Bruxelles Lambert SA
Fluvius System Operator CVBA
BEFIMMO SA
Elia Group SA
Anheuser-Busch InBev N.V./S.A.
Brussels Airport Company SA/NV
Apetra N.V.
Barry Callebaut Services N.V
Solvay S.A.
Lonza Finance International NV
ENI Finance International S.A.
VGP NV
JAB Holdings B.V.
TRATON Finance Luxemburg SA
SIX Finance (Luxembourg) S.A.
"Stellantis N.V, Amsterdam"
"Brisa - Concesso Rodoviria, SA"
EDP - Energias de Portugal SA
Metropolitano de Lisboa
"NOS SGPS, Lisbon"
Telecom Italia Finance S.A.
"Nederlandse Gasunie, N.V."
EDP Finance B.V.
TenneT Holding BV
ENEXIS Holding NV
Alliander N.V.
Akzo Nobel N.V.
Nestl Finance Intl Ltd.
Wolters Kluwer N.V.
ASML Holding N.V.
Zpadoslovensk energetika AS
Holcim Finance (Luxembg) S.A.
Heineken N.V.
Koninklijke DSM NV
Shell International Finance BV
Airbus Group Finance B.V.
"SPP-Distribucia, A.S."
Citycon Treasury B.V.
CNH Industrial Finance Euro.SA
EXOR N.V.
Novartis Finance S.A.
Urenco Finance N.V.
Eurofins Scientific SE
Unilever Finance Netherlands B.V.
SPP Infrastructure Fing B.V.
REN Finance B.V.
Roche Finance Europe B.V.
NN Group NV
Michelin Luxembourg SCS
Adecco Intl Fin. Serv. B.V.
Royal Schiphol Group N.V.
Coca Cola HBC Finance B.V.
RELX Finance B.V.
ABB Finance B.V.
Bunge Finance Europe B.V.
Aroundtown SA
Koninklijke KPN NV
Whirlpool Finance Luxembourg S.a.r.l.
Aegon NV
WPC Eurobond B.V.
HeidelbergCement Fin.Lux. S.A.
Compass Group International BV
ADLER Group S.A.
Grand City Properties S.A.
Koninklijke Philips N.V.
John Deere Cash Management SA
Koninklijke Ahold Delhaize N.V.
Stedin Holding N.V.
PostNL NV
ArcelorMittal  S.A
Euronext N.V.
Richemont Intl Holding S.A.
SES S.A.
Paccar Financial Europe B.V.
"Compass Group Finance Netherlands B.V., Amsterdam"
Schlumberger Finance B.V.
LYB International Finance II
Mondelez Intl Hldgs Nether. BV
CK Hutchison Grp Tele.Fin. SA
Digital Dutch Finco BV
Tyco Electronics Group S.A.
Whirlpool EMEA Finance SARL
Givaudan Finance Europe B.V
Signify NV
Airbus SE
B.A.T Netherlands Finance BV
Swisscom Finance BV
CRH Funding BV
CPI Property Group SA
Achmea B.V.
Reckitt Benckiser Treasury Services BV
Mohawk Capital Finance S.A.
SIG Combibloc
Eustream AS
